,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Easy Street Capital DSCR STANDARD SERIES Rate Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easy Street Capital Signature Series (1-4 Unit DSCR) - Cash-Out Refi
"Note: See ""Standard Series Portfolios Loans"" tab for Rate Sheet for cross-collateralized Portfolio Loans and ""Standard Series (MF&MU)"" tab for Rate Sheet for loans secured by Multifamily (5-10 Units) and Mixed Use properties",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Base Rates,Premium,,DSCR / Max LTV Master Matrices,,,,,,,,,,Adjustments: FICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FICO,,Loan Size,Acquisition,,Rate-Term Refinance,,Cash-Out Refinance,,,2-4 Unit*,-0.500,-0.500,-0.500,-0.500,-0.750,-1.000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"780+
760-779
740-759
720-739
700-719",,"$100,001 - $125,000",NA,,NA,,NA,,,Note: Condo - Warrantable and Condo - Non-Warrantable maximum LTVs for Rate-Term Refinances and Cash-Out Refinances is 70.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$125,001 - $150,000",NA,,NA,,NA,,,"Note: Condotels maximum LTV for Acquisitions is 75.0%, Rate-Term Refinances is 65.0% and Cash-Out Refinances is 65.0%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$150,001 - $250,000",80.0%,,75.0%,,75.0%,,,Note: 2-4 Unit maximum LTVs for Rate-Term Refinances and Cash-Out Refinances is 70.0%. Refers to residential properties only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$250,001 - $400,000",80.0%,,75.0%,,75.0%,,,Note: see the Standard Series (MF&MU) tab for separate rate sheet for loans secured by 5-10 unit residential properties and Mixed Use properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$400,001 - $500,000",80.0%,,75.0%,,75.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$500,001 - $750,000",80.0%,,75.0%,,75.0%,,,Adjustments: Loan Structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$750,001 - $1,000,000",80.0%,,75.0%,,75.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$1,000,001 - $1,500,000",80.0%,,75.0%,,75.0%,,,Loan Structure/LTV,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$1,500,001 - $2,000,000",75.0%,,70.0%,,70.0%,,,30-Year Fixed Rate,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$2,000,001 - $2,500,000",75.0%,,65.0%,,65.0%,,,30-Year 5/6 ARM,0.150,0.150,0.150,0.150,0.150,0.150,0.150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$2,500,001 - $3,000,000",70.0%,,65.0%,,65.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$3,000,001 - $3,500,000",70.0%,,65.0%,,NA,,,Adjustments: Amortization or IO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FICO,,Loan Size,Acquisition,,Rate-Term Refinance,,Cash-Out Refinance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"680-699
660-679",,"$100,001 - $125,000",NA,,NA,,NA,,,Amort or IO/LTV,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$125,001 - $150,000",NA,,NA,,NA,,,Fully Amortizing,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$150,001 - $250,000",75.0%,,75.0%,,70.0%,,,Partial-IO (10 Years)*,-0.500,-0.500,-0.500,-0.500,-0.625,-0.750,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$250,001 - $400,000",75.0%,,75.0%,,70.0%,,,Note: Minimum qualifying credit score (FICO) for Partial-IO (10 Years) is 680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$400,001 - $500,000",75.0%,,75.0%,,70.0%,,,"Note: Partial-IO (10 years) maximum LTV for Acquisitions is 75%, Rate-Term Refinances is 75%, and Cash-Out Refinances is 70%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$500,001 - $750,000",75.0%,,75.0%,,70.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$750,001 - $1,000,000",75.0%,,75.0%,,70.0%,,,Adjustments: Prepayment Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$1,000,001 - $1,500,000",75.0%,,70.0%,,70.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$1,500,001 - $2,000,000",70.0%,,65.0%,,65.0%,,,Prepayment/LTV,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$2,000,001 - $2,500,000",70.0%,,65.0%,,65.0%,,,"5%(60),O(300)",0.875,0.875,0.875,0.875,1.000,1.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$2,500,001 - $3,000,000",65.0%,,NA,,NA,,,"5%(48),O(312)",0.625,0.625,0.625,0.625,0.625,0.625,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$3,000,001 - $3,500,000",NA,,NA,,NA,,,"5%(36),O(324)",0.250,0.250,0.250,0.250,0.250,0.250,0.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FICO,,Loan Size,Acquisition,,Rate-Term Refinance,,Cash-Out Refinance,,,"5%(24),O(336)",-0.375,-0.375,-0.375,-0.375,-0.500,-0.500,-0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,640-659,,"$100,001 - $125,000",NA,,NA,,NA,,,"5%(12),O(348)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$125,001 - $150,000",NA,,NA,,NA,,,"5%(12),4%(12),3%(12),2%(12),1%(12),O(300)",0.750,0.750,0.750,0.750,0.875,0.875,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$150,001 - $250,000",75.0%,,70.0%,,NA,,,"4%(12),3%(12),2%(12),1%(12),O(312)",-0.500,-0.500,-0.500,-0.500,-0.625,-0.625,-0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$250,001 - $400,000",75.0%,,70.0%,,NA,,,"3%(12),2%(12),1%(12),O(324)",-0.500,-0.500,-0.500,-0.500,-0.625,-0.625,-0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
